0,0
1,0.1
2,0.1.5
3,0.1.6
4,0.2
5,0.2.3.7
6,0.2.4.7
7,0.2.5
8,0.2.6
9,0.2.7
10,0.3
11,0.3.5
12,0.3.5.8
13,0.3.6
14,0.3.6.8
15,0.3.6.9
16,0.3.7
17,0.4
18,0.4.5
19,0.4.6
20,0.4.7
21,0.5
22,0.5.6
23,0.6
24,1
25,1.2
26,1.2.4.6.8.10
27,1.2.6
28,1.2.6.8
29,1.3
30,1.3.5
31,1.3.5.8
32,1.3.6
33,1.3.7
34,1.3.8
35,1.4
36,1.4.6
37,1.4.6.9
38,1.4.7
39,1.4.7.10
40,1.4.7.9
41,1.4.8
42,1.5
43,1.5.8
44,1.5.9
45,1.6
46,1.7
47,10
48,10.0
49,10.0.2.5
50,10.0.3
51,10.0.4
52,10.0.5
53,10.1
54,10.1.3
55,10.1.3.5.6
56,10.1.3.6
57,10.1.4
58,10.1.4.6
59,10.1.5
60,10.11
61,10.11.3
62,10.11.3.5
63,10.2
64,10.2.3
65,10.2.4
66,10.2.5
67,10.3
68,11
69,11.0
70,11.0.4
71,11.0.4.6
72,11.0.4.7
73,11.0.5
74,11.1
75,11.1.4
76,11.1.4.5
77,11.1.5
78,11.1.6
79,11.2
80,11.2.4
81,11.2.4.6
82,11.2.4.7
83,11.2.5
84,11.2.5.7
85,11.2.6
86,11.3
87,11.3.5
88,11.3.6
89,11.4
90,11.4.5
91,2
92,2.3
93,2.3.7
94,2.3.7.10
95,2.3.7.9
96,2.4
97,2.4.5
98,2.4.5.9
99,2.4.6.9.11
100,2.4.7
101,2.4.7.10
102,2.4.8
103,2.4.9
104,2.5
105,2.5.7
106,2.5.7.10
107,2.5.8
108,2.5.8.10
109,2.5.8.11
110,2.5.9
111,2.6
112,2.6.10
113,2.6.7
114,2.6.7.9
115,2.6.9
116,2.7
117,2.7.8
118,2.8
119,3
120,3.4
121,3.4.8
122,3.4.8.10
123,3.5
124,3.5.10
125,3.5.7
126,3.5.7.10
127,3.5.7.8.11
128,3.5.8
129,3.5.8.11
130,3.6
131,3.6.10
132,3.6.7
133,3.6.8
134,3.6.9.11
135,3.7
136,3.7.10
137,3.7.11
138,3.7.9
139,3.7.9.10
140,3.8
141,3.8.9
142,3.9
143,4
144,4.10
145,4.5
146,4.5.7.11
147,4.5.9
148,4.5.9.0
149,4.5.9.11
150,4.6
151,4.6.10
152,4.6.11
153,4.6.7
154,4.6.8.11.1
155,4.6.9
156,4.6.9.11
157,4.7
158,4.7.10
159,4.7.11
160,4.7.9
161,4.7.9.0
162,4.7.9.11
163,4.8
164,4.8.10
165,4.8.11
166,4.8.9
167,4.8.9.11
168,4.9
169,4.9.10
170,5
171,5.10
172,5.10.11
173,5.11
174,5.6
175,5.7
176,5.7.0
177,5.7.10
178,5.7.8.0
179,5.8
180,5.8.0
181,5.8.10
182,5.8.11
183,5.9
184,5.9.0
185,5.9.11
186,5.9.11.0
187,6
188,6.10
189,6.10.0
190,6.10.1
191,6.10.11
192,6.10.11.1
193,6.11
194,6.11.0
195,6.7
196,6.7.0
197,6.7.11
198,6.7.11.2
199,6.8
200,6.8.0
201,6.8.1
202,6.8.10
203,6.8.10.0.3
204,6.8.11
205,6.8.11.2
206,6.9
207,6.9.0
208,6.9.0.2
209,6.9.1
210,6.9.11
211,6.9.11.2
212,7
213,7.0
214,7.10
215,7.10.0
216,7.10.0.3
217,7.10.1
218,7.10.1.3
219,7.10.2
220,7.11
221,7.11.0
222,7.11.2
223,7.8
224,7.8.0
225,7.8.0.3
226,7.8.10.2
227,7.8.11
228,7.9
229,7.9.0
230,7.9.1
231,7.9.11
232,7.9.11.2
233,7.9.2
234,8
235,8.0
236,8.0.1
237,8.0.2
238,8.0.3
239,8.1
240,8.10
241,8.10.0
242,8.10.1
243,8.10.11.1.4
244,8.10.11.3
245,8.10.2
246,8.10.3
247,8.11
248,8.11.1
249,8.11.1.4
250,8.11.2
251,8.11.3
252,8.9
253,8.9.1
254,8.9.1.3
255,8.9.1.4
256,8.9.11.1
257,8.9.2
258,9
259,9.0
260,9.0.2
261,9.0.2.4
262,9.0.2.5
263,9.0.3
264,9.0.3.5
265,9.0.4
266,9.1
267,9.1.4
268,9.10
269,9.10.2
270,9.10.2.4
271,9.11
272,9.11.0.4
273,9.11.1
274,9.11.2
275,9.11.2.4
276,9.11.2.5
277,9.11.3
278,9.11.4
279,9.2
280,9.2.3
281,A0
282,A1
283,A2
284,A3
285,A4
286,A5
287,A6
288,B-1
289,B-2
290,B-3
291,B-4
292,B-5
293,B-6
294,B0
295,B1
296,B2
297,B3
298,B4
299,B5
300,B6
301,C#1
302,C#2
303,C#3
304,C#4
305,C#5
306,C#6
307,C#7
308,C1
309,C2
310,C3
311,C4
312,C5
313,C6
314,C7
315,D1
316,D2
317,D3
318,D4
319,D5
320,D6
321,D7
322,E-1
323,E-2
324,E-3
325,E-4
326,E-5
327,E-6
328,E1
329,E2
330,E3
331,E4
332,E5
333,E6
334,F#1
335,F#2
336,F#3
337,F#4
338,F#5
339,F#6
340,F1
341,F2
342,F3
343,F4
344,F5
345,F6
346,G#1
347,G#2
348,G#3
349,G#4
350,G#5
351,G#6
352,G1
353,G2
354,G3
355,G4
356,G5
357,G6
